23 7 3 3 5 11
23 8 3 6 8 19
23 9 3 7 39 40
23 10 3 11 23 42
23 11 3 13 19 24
23 12 3 6 14 25
23 13 3 14 15 25
23 14 3 17 19 24
23 15 3 6 20 25
24 1 2 1 2
24 2 3 3 4 5
24 3 3 7 8 52
24 4 3 11 53 54
24 5 3 11 53 54
24 6 3 11 53 54
24 7 3 11 53 54
24 8 3 11 53 54
24 9 3 7 8 23
24 10 3 11 17 24
24 11 3 9 19 20
24 12 3 10 12 25
25 1 2 1 2
25 2 3 3 4 5
25 3 3 6 7 8
25 4 3 7 8 16
25 5 3 11 17 18
25 6 3 9 19 20
25 7 3 10 12 25
26 1 2 1 2
26 2 3 3 4 5
26 3 3 6 7 8
26 4 3 7 8 23
26 5 3 11 13 24
26 6 3 6 14 19
26 7 3 14 15 19
26 8 3 11 17 24
26 9 3 19 20 30
26 10 3 25 31 32
26 11 3 15 33 45
26 12 3 9 33 45
26 13 3 10 12 46
26 14 3 25 31 32
26 15 3 15 33 45
26 16 3 9 33 45
26 17 3 10 12 46
26 18 3 25 31 32
26 19 3 15 33 45
26 20 3 9 33 45
26 21 3 10 12 46
27 1 2 2 26
27 2 3 4 23 27
27 3 3 7 13 24
27 4 3 6 11 14
27 5 3 11 14 15
27 6 3 7 17 24
27 7 3 11 20 23
27 8 3 13 19 24
27 9 3 6 14 25
27 10 3 14 15 25
27 11 3 17 19 24
27 12 3 9 20 25
27 13 3 10 12 45
28 1 2 1 2
28 2 3 3 4 5
28 3 3 6 7 8
28 4 3 7 8 23
28 5 3 11 13 24
28 6 3 6 14 19
28 7 3 14 15 19
28 8 3 11 17 24
28 9 3 9 19 20
28 10 3 10 12 25
28 11 3 19 20 30
28 12 3 25 31 32
28 13 3 15 33 45
28 14 3 30 33 45
28 15 3 31 32 46
28 16 3 15 33 50
28 17 3 6 33 50
28 18 3 31 32 46
28 19 3 15 33 50
28 20 3 25 31 32
28 21 3 15 33 45
28 22 3 6 33 45
29 1 2 2 34
29 2 3 4 6 35
29 3 3 4 35 36
29 4 3 6 7 37
29 5 3 4 35 38
29 6 3 1 7 40
29 7 3 3 5 11
29 8 3 6 8 19
29 9 3 8 19 30
29 10 3 25 31 32
29 11 3 15 33 45
